Date,Open,High,Low,Close,Volume
2024-10-01,2300.0,2311.69647597,2279.14390847,2294.73332001,151441
2024-10-02,2294.73332001,2318.18830735,2290.17735874,2296.53738433,148149
2024-10-03,2296.53738433,2299.93052719,2262.33748929,2276.1827347,133530
2024-10-04,2276.1827347,2293.20187507,2275.95806621,2286.14914647,131761
2024-10-05,2286.14914647,2291.90556322,2255.49643625,2264.42622382,143235
2024-10-06,2264.42622382,2314.23673935,2244.7255765,2307.05194678,153666
2024-10-07,2307.05194678,2326.25523381,2299.71636024,2321.10419554,161699
2024-10-08,2321.10419554,2335.92260781,2248.73146629,2267.79423773,165964
2024-10-09,2267.79423773,2284.12752251,2217.93124681,2220.12800313,165838
2024-10-10,2220.12800313,2255.0266647,2216.87364924,2248.10932418,174033
2024-10-11,2248.10932418,2269.22154393,2243.03833452,2257.49232515,166054
2024-10-12,2257.49232515,2287.948542,2254.92395627,2266.22721281,178451
2024-10-13,2266.22721281,2267.69438226,2238.2186054,2241.33771102,177978
2024-10-14,2241.33771102,2255.67051275,2219.76706395,2224.9736328,171302
2024-10-15,2224.9736328,2226.93842539,2186.92562533,2195.71955569,181333
2024-10-16,2195.71955569,2211.64924237,2160.51628158,2176.02867078,190072
2024-10-17,2176.02867078,2183.71652063,2161.41771533,2183.70545325,198398
2024-10-18,2183.70545325,2203.44965808,2156.18299798,2165.02747183,188029
2024-10-19,2165.02747183,2201.07697139,2147.25486509,2191.36239342,186885
2024-10-20,2191.36239342,2228.34800622,2178.76435456,2219.08079411,195647
2024-10-21,2219.08079411,2235.80882303,2218.77353554,2235.20921956,188769
2024-10-22,2235.20921956,2275.55818342,2227.86190076,2275.44413596,179683
2024-10-23,2275.44413596,2284.6721336,2258.16642071,2284.25122352,189716
2024-10-24,2284.25122352,2333.51879114,2272.23357606,2303.97850011,186531
2024-10-25,2303.97850011,2321.13137614,2278.07140384,2281.37758198,197135
2024-10-26,2281.37758198,2316.17876267,2272.85241089,2314.69589733,197020
2024-10-27,2314.69589733,2323.63005852,2302.61601707,2304.46956365,207586
2024-10-28,2304.46956365,2324.05088513,2282.3696592,2311.88707858,200119
2024-10-29,2311.88707858,2350.33563408,2295.04248317,2330.43419703,185505
2024-10-30,2330.43419703,2338.61403305,2272.9206509,2276.89348427,188883
2024-10-31,2276.89348427,2277.47470821,2227.24882137,2237.58366417,185265
2024-11-01,2237.58366417,2244.60557964,2204.33716576,2224.31724497,187795
2024-11-02,2224.31724497,2233.43242752,2187.07211473,2212.56396141,176997
2024-11-03,2212.56396141,2224.79299371,2197.48222533,2214.34169467,177530
2024-11-04,2214.34169467,2227.8208144,2213.8298663,2215.03306775,179198
2024-11-05,2215.03306775,2229.5873589,2160.64855132,2169.2773255,179818
2024-11-06,2169.2773255,2174.54630576,2157.32453733,2174.37161949,167523
2024-11-07,2174.37161949,2176.78459069,2171.23523312,2176.23916853,171795
2024-11-08,2176.23916853,2177.31101965,2155.03400394,2175.10869078,157028
2024-11-09,2175.10869078,2176.77807407,2122.01330412,2127.48226132,148432
2024-11-10,2127.48226132,2181.29079067,2122.4458861,2168.94639529,140745
2024-11-11,2168.94639529,2210.48631462,2166.23765935,2197.90219761,143794
2024-11-12,2197.90219761,2232.45999385,2191.48473867,2220.35076028,131426
2024-11-13,2220.35076028,2241.32844585,2201.12447788,2208.90037454,119119
2024-11-14,2208.90037454,2216.79752888,2187.85547004,2215.11219839,127606
2024-11-15,2215.11219839,2216.91349064,2194.82654179,2198.25114367,118247
2024-11-16,2198.25114367,2234.0508773,2196.53227178,2231.29566465,128450
2024-11-17,2231.29566465,2256.34236979,2185.57868774,2212.52776146,113808
2024-11-18,2212.52776146,2244.15783951,2209.35891641,2231.7355759,99118
2024-11-19,2231.7355759,2314.84767734,2226.22285765,2288.26995918,94810
2024-11-20,2288.26995918,2305.2677685,2258.7709046,2296.91586103,95772
2024-11-21,2296.91586103,2309.29263023,2275.33781559,2278.04202265,102462
2024-11-22,2278.04202265,2348.46091639,2271.6101881,2325.36793997,102054
2024-11-23,2325.36793997,2358.38319624,2325.27969507,2357.79796654,87074
2024-11-24,2357.79796654,2367.02403699,2293.659656,2314.67226362,80656
2024-11-25,2314.67226362,2320.16094678,2279.09655159,2316.55295187,83813
2024-11-26,2316.55295187,2332.90333045,2287.93468149,2292.02972678,73171
2024-11-27,2292.02972678,2299.26725769,2212.79728097,2226.4314276,66224
